1;Toulouse;[2,3,6,14,25];[263,678,245,196,207]
2;Montpellier;[1,3,4,7,25];[263,732,169,304,157]
3;Paris;[1,2,4,6,7,9,10,11,12,13,18,23,26];[678,732,804,591,466,383,589,315,491,293,238,246,225]
4;Marseille;[2,3,16,7];[169,775,65,314]
5;Nice;[16];[150]
6;Bordeaux;[1,3,7,9,14,15];[245,591,566,348,216,185]
7;Lyon;[2,3,4,6,8,9,11,12];[304,466,314,566,112,691,197,488]
8;Grenoble;[4,7];[274,112]
9;Nantes;[3,6,7,10,11,13];[383,348,691,297,644,599]
10;Brest;[3,9,13,18];[589,297,716,372]
11;Dijon;[3,7,9,20,13,17];[315,197,644,94,569,214]
12;Strasbourg;[3,7,21,13,17];[491,488,74,621,149]
13;Calais;[3,9,10,11,12,18,23,24];[293,599,716,569,621,350,277,45]
14;Pau;[1,6,15];[196,216,112]
15;Bayonne;[6,14];[185,112]
16;Toulon;[4,5];[65,150]
17;Nancy;[12,11,26][149,214,448]
18;Caen;[13,10,3,23];[350,372,238,99]
19;Cherbourg;[18];[124]
20;Besançon;[11,21,22];[94,164,131]
21;Colmar;[21,12,22];[165,74,44]
22;Mulhouse;[20,21];[131,44]
23;Le Havre;[3,18,13];[246,99,277]
24;Dunkerque;[13,26];[45,73]
25;Perpignan;[1,2];[207,157]
26;Lille;[3,24,17],[225,73,448]
